"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Albiero Gonzales Graham Gustin Harding",16.25,20
"2","Falatea Graham Gustin Hamson Harding",8.08,-4
"3","Gonzales Graham Gustin Hamson Harding",7.12,-12
"4","Albiero Gonzales Graham Gustin Hamson",4.72,-3
"5","Albiero Gonzales Gustin Hamson Harding",3.62,2
