Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - MTS,,
,,5:28,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,5:24,Misc Stat > Defensive Rebound > Ashley Van Sickle,,,
MTS,1,5:20,11 Katelynn Limardo > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,11,-,10
,,5:20,Shot > Katelynn Limardo > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,5:20,Misc Stat > Assist > Ashley Van Sickle,,,
BYU,1,5:06,10 Tegan Graham > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,11,-,10
,,5:06,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
MTS,1,4:50,24 Taylor Janssen > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Make 2 Pts,11,-,12
,,4:50,Shot > Taylor Janssen > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,4:36,5 Maria Albiero > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits,14,-,12
,,,Ball Delivered,,,
,,,11 Kaylee Smiler > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,4:36,Shot > Kaylee Smiler > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,4:36,Misc Stat > Assist > Maria Albiero,,,
MTS,1,4:23,23 Gabby Mocchi > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts,14,-,12
,,4:23,Shot > Gabby Mocchi > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:22,Time Event > Timeout Any,,,
BYU,1,4:09,13 Paisley Harding > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,14,-,12
,,4:09,Shot > Paisley Harding > Any Type > 3 Point Attempt > Miss 3 Pts,,,
MTS,1,3:38,23 Gabby Mocchi > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,14,-,15
,,3:38,Shot > Gabby Mocchi > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:38,Misc Stat > Assist > Leia Beattie,,,
BYU,1,3:14,5 Maria Albiero > No Play Type > Turnover,14,-,15
,,3:14,Turnover > Any Type > Maria Albiero,,,
MTS,1,2:59,11 Katelynn Limardo > Off Screen > To Shooter's Left > Straight > Dribble Jumper > Short to < 17' > Miss 2 Pts,14,-,15
,,2:59,Shot > Katelynn Limardo > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:57,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,2:47,12 Lauren Gustin > Cut > Basket > Make 2 Pts,16,-,15
,,2:47,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:47,Misc Stat > Assist > Tegan Graham,,,
MTS,1,2:28,10 Kola Bad Bear > Post-Up > Left Block > Face-up > Drive Baseline > Miss 2 Pts,16,-,15
,,2:28,Shot > Kola Bad Bear > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:25,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,2:14,2 Shaylee Gonzales > Non Possession > Non Shooting Foul,16,-,15
,,2:14,Personal Foul > Defensive - Any > Gabby Mocchi,,,
BYU,1,2:11,11 Kaylee Smiler > Spot-Up > Drives Left > To Basket > Foul,16,-,15
,,2:11,Personal Foul > Defensive - Any > Darian White,,,
BYU,1,2:11,11 Kaylee Smiler > Non Possession > Free Throw,17,-,15
,,2:11,Shot > Kaylee Smiler > Free Throw > Made,,,
BYU,1,2:11,11 Kaylee Smiler > Non Possession > Free Throw,18,-,15
,,2:11,Shot > Kaylee Smiler > Free Throw > Made,,,
MTS,1,2:00,23 Gabby Mocchi > Cut > Flash > Miss 2 Pts,18,-,15
,,2:00,Shot > Gabby Mocchi > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:57,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,1:42,12 Lauren Gustin > Cut > Basket > Make 2 Pts,20,-,15
,,1:42,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,1:42,Misc Stat > Assist > Nani Falatea,,,
MTS,1,1:22,10 Kola Bad Bear > Post-Up > Left Block > Face-up > Drive Baseline > Defense Commits > Turnover,20,-,15
,,1:22,Misc Stat > Steal > Shaylee Gonzales,,,
,,1:22,Turnover > Any Type > Kola Bad Bear,,,
BYU,1,1:17,2 Shaylee Gonzales > Transition > Ballhandler > To Basket > Make 2 Pts,22,-,15
,,1:17,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
MTS,1,1:03,0 Darian White > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul,22,-,15
,,1:03,Personal Foul > Defensive - Any > Tegan Graham,,,
MTS,1,1:03,0 Darian White > Non Possession > Free Throw,22,-,16
,,1:03,Shot > Darian White > Free Throw > Made,,,
MTS,1,1:03,0 Darian White > Non Possession > Free Throw,22,-,16
,,1:03,Shot > Darian White > Free Throw > Missed,,,
,,1:03,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,0:57,3 Nani Falatea > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,22,-,16
,,0:57,Shot > Nani Falatea > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,0:54,Misc Stat > Defensive Rebound > Leia Beattie,,,
MTS,1,0:43,23 Gabby Mocchi > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts,22,-,16
,,0:43,Shot > Gabby Mocchi > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:40,Misc Stat > Defensive Rebound > Tegan Graham,,,
BYU,1,0:35,3 Nani Falatea > Transition > Right Wing > Dribble Jumper > Long/3pt > Miss 3 Pts,22,-,16
,,0:35,Shot > Nani Falatea > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,1,0:32,12 Lauren Gustin > Offensive Rebound > Short > Run Offense,22,-,16
,,0:32,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,1,0:30,2 Shaylee Gonzales > Spot-Up > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,22,-,16
,,0:30,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:25,Misc Stat > Defensive Rebound > Darian White,,,
MTS,1,0:05,0 Darian White > ISO > Left > Drives Right > To Basket > Miss 2 Pts,22,-,16
,,0:05,Shot > Darian White > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:03,Misc Stat > Defensive Rebound > Lauren Gustin,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - MTS,,
