Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FS - BYU,,
,,6:07,Shot > Shaylee Gonzales > Free Throw > Made,,,
FS,1,5:49,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,7,-,8
,,,Ball Delivered,,,
,,,5 Daylee Dunn > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,,,
,,5:49,Shot > Daylee Dunn > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:49,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,5:37,12 Lauren Gustin > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,7,-,8
,,5:37,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,5:37,Misc Stat > Defensive Rebound > Wytalla Motta,,,
FS,1,5:25,1 Haley Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,7,-,8
,,5:25,Misc Stat > Steal > Tegan Graham,,,
,,5:25,Turnover > Any Type > Haley Cavinder,,,
BYU,1,5:10,12 Lauren Gustin > Non Possession > Non Shooting Foul,7,-,8
,,5:10,Personal Foul > Defensive - Any > Wytalla Motta,,,
BYU,1,5:03,11 Kaylee Smiler > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,7,-,11
,,5:03,Shot > Kaylee Smiler > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,5:10,Player Movement > Sub In > Home Player > Kaylee Smiler,,,
,,5:10,Player Movement > Sub Out > Home Player > Paisley Johnson,,,
,,5:03,Misc Stat > Assist > Tegan Graham,,,
FS,1,4:43,1 Haley Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover,7,-,11
,,4:43,Misc Stat > Steal > Shaylee Gonzales,,,
,,4:43,Turnover > Any Type > Haley Cavinder,,,
BYU,1,4:39,2 Shaylee Gonzales > Transition > Ballhandler > To Basket > Make 2 Pts,7,-,13
,,4:39,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:36,Time Event > Full Time Out > Away Team,,,
FS,1,4:21,1 Haley Cavinder > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits,7,-,13
,,,Ball Delivered,,,
,,,13 Amiee Book > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,,,
,,4:21,Shot > Amiee Book > Any Type > 3 Point Attempt > Miss 3 Pts,,,
FS,1,4:21,24 Wytalla Motta > Offensive Rebound > Short > Run Offense,7,-,13
,,4:21,Misc Stat > Offensive Rebound > Wytalla Motta,,,
FS,1,4:08,0 Hanna Cavinder > ISO > Left > Drives Right > Defense Commits > Turnover,7,-,13
,,4:08,Turnover > Any Type > Hanna Cavinder,,,
BYU,1,3:45,11 Kaylee Smiler > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,7,-,13
,,3:45,Shot > Kaylee Smiler > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,4:08,Player Movement > Sub Out > Away Player > Haley Cavinder,,,
,,4:08,Player Movement > Sub In > Away Player > Haley Cavinder,,,
,,4:08,Player Movement > Sub Out > Away Player > Daylee Dunn,,,
,,4:08,Player Movement > Sub In > Away Player > Yanina Todorova,,,
,,3:45,Misc Stat > Team Defensive Rebound > Away,,,
,,3:41,Personal Foul > Defensive - Any > Lauren Gustin,,,
FS,1,3:36,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,10,-,13
,,,Ball Delivered,,,
,,,13 Amiee Book > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,,,
,,3:36,Shot > Amiee Book > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:36,Misc Stat > Assist > Hanna Cavinder,,,
BYU,1,3:14,5 Maria Albiero > Transition > First Middle > Dribble Jumper > Short to < 17' > Miss 2 Pts,10,-,13
,,3:14,Shot > Maria Albiero > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,3:08,12 Lauren Gustin > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,10,-,15
,,3:08,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,3:14,Misc Stat > Offensive Rebound > Lauren Gustin,,,
FS,1,2:54,0 Hanna Cavinder > P&R Ball Handler > Left P&R > Side > Defense Commits,10,-,15
,,,Ball Delivered,,,
,,,24 Wytalla Motta > P&R Roll Man > Slips the Pick > To Basket > Miss 2 Pts,,,
,,2:54,Shot > Wytalla Motta > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:54,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,2:42,5 Maria Albiero > Transition > Left Wing > To Basket > Make 2 Pts,10,-,17
,,2:42,Shot > Maria Albiero > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:42,Misc Stat > Assist > Kaylee Smiler,,,
FS,1,2:24,1 Haley Cavinder > Non Possession > Non Shooting Foul,10,-,17
,,2:24,Personal Foul > Defensive - Any > Maria Albiero,,,
FS,1,2:16,1 Haley Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,12,-,17
,,,Ball Delivered,,,
,,,21 Imani Lacy > P&R Roll Man > Rolls to Basket > Make 2 Pts Foul > 1 Pts,,,
,,2:16,Shot > Imani Lacy > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:24,Player Movement > Sub In > Away Player > Imani Lacy,,,
,,2:24,Player Movement > Sub Out > Away Player > Wytalla Motta,,,
,,2:24,Player Movement > Sub In > Home Player > Paisley Johnson,,,
,,2:24,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,2:16,Misc Stat > Assist > Haley Cavinder,,,
,,2:16,Personal Foul > Defensive - Any > Tegan Graham,,,
FS,1,2:16,21 Imani Lacy > Non Possession > Free Throw,13,-,17
,,2:16,Shot > Imani Lacy > Free Throw > Made,,,
,,2:16,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,2:16,Player Movement > Sub Out > Home Player > Tegan Graham,,,
,,2:16,Player Movement > Sub In > Away Player > Maria Guimaraes,,,
,,2:16,Player Movement > Sub Out > Away Player > Yanina Todorova,,,
BYU,1,2:03,12 Lauren Gustin > Spot-Up > Drives Right > To Basket > Miss 2 Pts,13,-,17
,,2:03,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,2:03,22 Sara Hamson > Offensive Rebound > Short > Run Offense,13,-,17
,,2:03,Misc Stat > Offensive Rebound > Sara Hamson,,,
BYU,1,1:57,11 Kaylee Smiler > Spot-Up > Drives Right > Turnover,13,-,17
,,1:57,Turnover > Any Type > Kaylee Smiler,,,
FS,1,1:37,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,13,-,17
,,1:37,Shot > Hanna Cavinder > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:37,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,1:24,2 Shaylee Gonzales > ISO > Top > Drives Left > Defense Commits,13,-,17
,,,Ball Delivered,,,
,,,22 Sara Hamson > Cut > Basket > Miss 2 Pts,,,
,,1:24,Shot > Sara Hamson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,1:24,12 Lauren Gustin > Offensive Rebound > Short > Run Offense,13,-,17
,,1:24,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,1,1:17,2 Shaylee Gonzales > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,13,-,17
,,1:17,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Miss 3 Pts,,,
BYU,1,1:17,12 Lauren Gustin > Offensive Rebound > Short > Run Offense,13,-,17
,,1:17,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,1,1:12,11 Kaylee Smiler > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,13,-,17
,,1:12,Shot > Kaylee Smiler > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,1:12,Misc Stat > Defensive Rebound > Haley Cavinder,,,
FS,1,1:04,13 Amiee Book > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,16,-,17
,,1:04,Shot > Amiee Book > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,1:04,Misc Stat > Assist > Haley Cavinder,,,
BYU,1,0:42,13 Paisley Johnson > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts,16,-,19
,,0:42,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,0:42,Misc Stat > Assist > Shaylee Gonzales,,,
FS,1,0:19,13 Amiee Book > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,16,-,19
,,,Ball Delivered,,,
,,,21 Imani Lacy > P&R Roll Man > Pick and Pops > Drives Right > To Basket > Miss 2 Pts,,,
,,0:19,Shot > Imani Lacy > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:19,Misc Stat > Block > Sara Hamson,,,
,,0:19,Misc Stat > Team Offensive Rebound > Away,,,
FS,1,0:19,0 Hanna Cavinder > No Play Type > Turnover,16,-,19
,,0:19,Player Movement > Sub In > Away Player > Jessica Peterson,,,
,,0:19,Player Movement > Sub Out > Away Player > Maria Guimaraes,,,
,,0:18,Turnover > Any Type > Hanna Cavinder,,,
BYU,1,0:05,13 Paisley Johnson > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits,16,-,19
,,,Ball Delivered,,,
,,,2 Shaylee Gonzales > Cut > Basket > Miss 2 Pts,,,
,,0:05,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,0:05,Misc Stat > Defensive Rebound > Imani Lacy,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FS - BYU,,
FS,2,9:46,1 Haley Cavinder > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts,16,-,19
,,9:46,Shot > Haley Cavinder > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:46,Misc Stat > Defensive Rebound > Sara Hamson,,,
,,9:46,Misc Stat > Block > Sara Hamson,,,
BYU,2,9:36,11 Kaylee Smiler > Off Screen > To Shooter's Right > Curl > To Basket > Foul,16,-,19
,,9:36,Personal Foul > Defensive - Any > Imani Lacy,,,
BYU,2,9:36,13 Paisley Johnson > Non Possession > Free Throw,16,-,20
,,9:36,Shot > Paisley Johnson > Free Throw > Made,,,
BYU,2,9:36,13 Paisley Johnson > Non Possession > Free Throw,16,-,21
,,9:36,Shot > Paisley Johnson > Free Throw > Made,,,
,,9:36,Player Movement > Sub Out > Away Player > Imani Lacy,,,
,,9:36,Player Movement > Sub In > Away Player > Wytalla Motta,,,
BYU,2,9:32,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,16,-,21
,,9:32,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,2,9:32,12 Lauren Gustin > Offensive Rebound > Short > Run Offense,16,-,21
,,9:32,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,2,9:26,13 Paisley Johnson > No Play Type > Turnover,16,-,21
,,9:26,Turnover > Any Type > Paisley Johnson,,,
FS,2,9:13,0 Hanna Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,16,-,21
,,9:13,Shot > Hanna Cavinder > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:13,Misc Stat > Team Offensive Rebound > Away,,,
,,9:13,Misc Stat > Block > Shaylee Gonzales,,,
FS,2,8:56,1 Haley Cavinder > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,16,-,21
,,,Ball Delivered,,,
,,,13 Amiee Book > Spot-Up > Drives Right > Dribble Jumper > Long/3pt > Miss 3 Pts,,,
,,8:56,Shot > Amiee Book > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,9:12,Player Movement > Sub Out > Home Player > Lauren Gustin,,,
,,9:12,Player Movement > Sub In > Away Player > Yanina Todorova,,,
,,9:12,Player Movement > Sub Out > Home Player > Kaylee Smiler,,,
