"","byu_lineup","lineup_minutes","lineup_plus_minus"
"1","Calvert Graham Gustin Johnson Johnson",4.8,5
"2","Albiero Gonzales Graham Gustin Johnson",3.87,0
"3","Albiero Calvert Gonzales Graham Johnson",2.15,0
"4","Albiero Calvert Gonzales Hamson Johnson",2.15,0
"5","Albiero Gonzales Graham Hamson Johnson",1.78,-2
"6","Albiero Calvert Graham Johnson Johnson",1.2,2
"7","Gonzales Graham Gustin Hamson Johnson",0.98,4
