Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,ASU - BYU,,
ASU,1,5:43,3 Gabriela Bosquez > Spot-Up > Drives Left > To Basket > Foul,2,-,5
,,5:43,Player Movement > Sub Out > Home Player > Paisley Johnson,,,
,,5:43,Personal Foul > Defensive - Any > Shaylee Gonzales,,,
,,5:43,Player Movement > Sub In > Home Player > Kaylee Smiler,,,
ASU,1,5:43,3 Gabriela Bosquez > Non Possession > Free Throw,3,-,5
,,5:43,Shot > Gabriela Bosquez > Free Throw > Made,,,
ASU,1,5:43,3 Gabriela Bosquez > Non Possession > Free Throw,4,-,5
,,5:43,Shot > Gabriela Bosquez > Free Throw > Made,,,
BYU,1,5:31,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,4,-,5
,,,Ball Delivered,,,
,,,10 Tegan Graham > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,5:31,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:43,Player Movement > Sub In > Away Player > Jaddan Simmons,,,
,,5:43,Player Movement > Sub Out > Away Player > Taya Hanson,,,
,,5:31,Misc Stat > Defensive Rebound > Sydney Erikstrup,,,
ASU,1,5:14,11 Sydney Erikstrup > Spot-Up > Drives Left > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,6,-,5
,,5:14,Shot > Sydney Erikstrup > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,4:56,2 Shaylee Gonzales > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,6,-,8
,,4:56,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,4:56,Misc Stat > Assist > Tegan Graham,,,
ASU,1,4:36,30 Jade Loville > Cut > Basket > Turnover,6,-,8
,,4:36,Misc Stat > Steal > Shaylee Gonzales,,,
,,4:36,Turnover > Any Type > Jade Loville,,,
BYU,1,4:29,2 Shaylee Gonzales > Transition > Right Wing > To Basket > Make 2 Pts,6,-,10
,,4:29,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
ASU,1,4:07,30 Jade Loville > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Medium/17' to <3p > Miss 2 Pts,6,-,10
,,4:07,Shot > Jade Loville > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:07,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,4:00,12 Lauren Gustin > Transition > First Middle > To Basket > Make 2 Pts,6,-,12
,,4:00,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:00,Misc Stat > Assist > Shaylee Gonzales,,,
ASU,1,3:49,2 Jaddan Simmons > ISO > Top > Drives Right > To Basket > Miss 2 Pts,6,-,12
,,3:49,Shot > Jaddan Simmons > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:49,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,3:41,2 Shaylee Gonzales > Transition > Ballhandler > To Basket > Miss 2 Pts,6,-,12
,,3:41,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:41,Misc Stat > Team Defensive Rebound > Away,,,
ASU,1,3:25,12 Mael Gilles > Cut > Flash > Miss 2 Pts,6,-,12
,,3:25,Shot > Mael Gilles > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:40,Time Event > Full Time Out > Away Team,,,
,,3:40,Player Movement > Sub Out > Away Player > Sydney Erikstrup,,,
,,3:40,Player Movement > Sub In > Away Player > Mael Gilles,,,
,,3:40,Player Movement > Sub In > Away Player > Taya Hanson,,,
,,3:40,Player Movement > Sub Out > Away Player > Jade Loville,,,
,,3:40,Player Movement > Sub Out > Away Player > Katelyn Levings,,,
,,3:40,Player Movement > Sub In > Away Player > Maggie Besselink,,,
ASU,1,3:21,13 Maggie Besselink > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,6,-,12
,,3:21,Shot > Maggie Besselink > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:25,Misc Stat > Offensive Rebound > Maggie Besselink,,,
,,3:21,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,3:08,5 Maria Albiero > Off Screen > To Shooter's Right > Straight > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,6,-,12
,,3:08,Shot > Maria Albiero > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:08,Misc Stat > Defensive Rebound > Jaddan Simmons,,,
ASU,1,2:43,13 Maggie Besselink > Post-Up > Left Block > Face-up > Drive Baseline > Miss 2 Pts,6,-,12
,,2:43,Shot > Maggie Besselink > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:50,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,2:50,Player Movement > Sub Out > Home Player > Tegan Graham,,,
,,2:43,Misc Stat > Defensive Rebound > Lauren Gustin,,,
,,2:43,Misc Stat > Block > Sara Hamson,,,
BYU,1,2:33,5 Maria Albiero > Non Possession > Non Shooting Foul,6,-,12
,,2:33,Personal Foul > Defensive - Any > Maggie Besselink,,,
BYU,1,2:33,22 Sara Hamson > No Play Type > Turnover,6,-,12
,,2:33,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,2:33,Player Movement > Sub In > Home Player > Paisley Johnson,,,
