Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FSU - BYU,,
,,6:08,Player Movement > Sub In > Away Player > Kourtney Weber,,,
,,6:08,Player Movement > Sub Out > Away Player > Valencia Myers,,,
,,6:08,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,5:56,Turnover > Any Type > River Baldwin,,,
,,5:56,Misc Stat > Steal > Shaylee Gonzales,,,
BYU,1,5:49,10 Tegan Graham > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,9,-,9
,,5:49,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:46,Misc Stat > Defensive Rebound > Morgan Jones,,,
FSU,1,5:31,11 O’Mariah Gordon > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,9,-,9
,,,Ball Delivered,,,
,,,24 Morgan Jones > Cut > Basket > Turnover,,,
,,5:31,Turnover > Any Type > Morgan Jones,,,
BYU,1,5:16,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,9,-,9
,,,Ball Delivered,,,
,,,10 Tegan Graham > P&R Roll Man > Pick and Pops > Drives Right > Turnover,,,
,,5:16,Turnover > Any Type > Tegan Graham,,,
,,5:16,Misc Stat > Steal > Kourtney Weber,,,
FSU,1,5:12,24 Morgan Jones > Transition > Ballhandler > To Basket > Make 2 Pts,11,-,9
,,5:12,Shot > Morgan Jones > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,4:50,13 Paisley Johnson > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Defense Commits > Turnover,11,-,9
,,4:50,Turnover > Any Type > Paisley Johnson,,,
FSU,1,4:35,11 O’Mariah Gordon > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Turnover,11,-,9
,,4:35,Turnover > Any Type > O'Mariah Gordon,,,
BYU,1,4:35,22 Sara Hamson > No Play Type > Turnover,11,-,9
,,4:35,Player Movement > Sub In > Away Player > Sara Bejedi,,,
,,4:35,Player Movement > Sub Out > Away Player > O'Mariah Gordon,,,
,,4:21,Personal Foul > Offensive Foul - Player Control > Sara Hamson,,,
,,4:21,Turnover > Any Type > Sara Hamson,,,
FSU,1,4:21,10 Kourtney Weber > No Play Type > Turnover,11,-,9
,,4:21,Player Movement > Sub In > Away Player > Valencia Myers,,,
,,4:21,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,4:21,Player Movement > Sub In > Home Player > Lauren Gustin,,,
,,4:21,Player Movement > Sub Out > Away Player > Makayla Timpson,,,
,,4:11,Turnover > Any Type > Kourtney Weber,,,
,,4:11,Misc Stat > Steal > Tegan Graham,,,
BYU,1,4:03,12 Lauren Gustin > Transition > First Middle > To Basket > Make 2 Pts,11,-,11
,,4:03,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:03,Misc Stat > Assist > Tegan Graham,,,
FSU,1,3:50,4 Sara Bejedi > Transition > Ballhandler > Turnover,11,-,11
,,3:50,Misc Stat > Steal > Lauren Gustin,,,
,,3:50,Turnover > Any Type > Sara Bejedi,,,
BYU,1,3:38,2 Shaylee Gonzales > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits,11,-,11
,,,Ball Delivered,,,
,,,12 Lauren Gustin > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,,,
,,3:38,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,3:36,2 Shaylee Gonzales > Offensive Rebound > Short > Run Offense,11,-,11
,,3:36,Misc Stat > Offensive Rebound > Shaylee Gonzales,,,
BYU,1,3:34,2 Shaylee Gonzales > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,11,-,13
,,3:34,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
FSU,1,3:22,32 Valencia Myers > Non Possession > Non Shooting Foul,11,-,13
,,3:22,Personal Foul > Defensive - Any > Lauren Gustin,,,
FSU,1,3:14,11 O’Mariah Gordon > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts,11,-,13
,,3:14,Shot > O'Mariah Gordon > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:22,Player Movement > Sub Out > Away Player > River Baldwin,,,
,,3:22,Player Movement > Sub Out > Home Player > Lauren Gustin,,,
,,3:22,Player Movement > Sub In > Away Player > Makayla Timpson,,,
,,3:22,Player Movement > Sub In > Home Player > Emma Calvert,,,
,,3:22,Player Movement > Sub In > Home Player > Maria Albiero,,,
,,3:22,Player Movement > Sub Out > Away Player > Sara Bejedi,,,
,,3:22,Player Movement > Sub In > Away Player > O'Mariah Gordon,,,
,,3:22,Player Movement > Sub In > Away Player > Sammie Puisis,,,
,,3:22,Player Movement > Sub Out > Away Player > Morgan Jones,,,
,,3:22,Player Movement > Sub Out > Home Player > Tegan Graham,,,
FSU,1,3:10,21 Makayla Timpson > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,13,-,13
,,3:10,Shot > Makayla Timpson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,3:10,Misc Stat > Offensive Rebound > Makayla Timpson,,,
BYU,1,2:53,13 Paisley Johnson > ISO > Right > Drives Right > Defense Commits,13,-,13
,,,Ball Delivered,,,
,,,25 Emma Calvert > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,2:53,Shot > Emma Calvert > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:53,Misc Stat > Block > Valencia Myers,,,
,,2:49,Misc Stat > Defensive Rebound > Sammie Puisis,,,
FSU,1,2:36,11 O’Mariah Gordon > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Turnover,13,-,13
,,2:36,Misc Stat > Steal > Sara Hamson,,,
,,2:36,Turnover > Any Type > O'Mariah Gordon,,,
BYU,1,2:21,13 Paisley Johnson > Off Screen > To Shooter's Left > Straight > Dribble Jumper > Short to < 17' > Make 2 Pts,13,-,15
,,2:21,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
FSU,1,2:03,21 Makayla Timpson > Post-Up > Flash Middle > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts,13,-,15
,,2:03,Shot > Makayla Timpson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:59,Misc Stat > Defensive Rebound > Emma Calvert,,,
BYU,1,1:47,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,13,-,15
,,1:47,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:45,Misc Stat > Defensive Rebound > Sammie Puisis,,,
FSU,1,1:20,10 Kourtney Weber > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,13,-,15
,,1:20,Shot > Kourtney Weber > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,1:20,Misc Stat > Block > Paisley Johnson,,,
FSU,1,1:14,10 Kourtney Weber > Offensive Rebound > Long > Run Offense,13,-,15
,,1:14,Misc Stat > Offensive Rebound > Kourtney Weber,,,
FSU,1,1:13,11 O’Mariah Gordon > Non Possession > Shot Clock Violation,13,-,15
,,1:13,Turnover > Specify Turnover Type > Team Turnover > Away Team,,,
BYU,1,1:13,10 Tegan Graham > No Play Type > Turnover,13,-,15
,,1:13,Player Movement > Sub In > Away Player > Mariana Valenzuela,,,
,,1:13,Player Movement > Sub Out > Home Player > Sara Hamson,,,
,,1:13,Player Movement > Sub Out > Away Player > O'Mariah Gordon,,,
,,1:13,Player Movement > Sub In > Home Player > Tegan Graham,,,
,,1:13,Player Movement > Sub Out > Away Player > Valencia Myers,,,
,,1:13,Player Movement > Sub In > Away Player > Sara Bejedi,,,
,,1:07,Turnover > Any Type > Tegan Graham,,,
,,1:07,Personal Foul > Offensive Foul - Player Control > Tegan Graham,,,
FSU,1,1:03,2 Sammie Puisis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,16,-,15
,,1:03,Shot > Sammie Puisis > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,1:03,Misc Stat > Assist > Mariana Valenzuela,,,
BYU,1,0:36,13 Paisley Johnson > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits,16,-,17
,,,Ball Delivered,,,
,,,5 Maria Albiero > Spot-Up > No Dribble Jumper > Guarded > Medium/17' to <3p > Make 2 Pts,,,
,,0:36,Shot > Maria Albiero > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,0:36,Misc Stat > Assist > Tegan Graham,,,
FSU,1,0:25,2 Sammie Puisis > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,16,-,17
,,0:25,Shot > Sammie Puisis > Any Type > 2 Point Attempt > Miss 2 Pts,,,
FSU,1,0:23,21 Makayla Timpson > Offensive Rebound > Short > Turnover,16,-,17
,,0:23,Misc Stat > Offensive Rebound > Makayla Timpson,,,
,,0:21,Misc Stat > Steal > Paisley Johnson,,,
,,0:21,Turnover > Any Type > Makayla Timpson,,,
BYU,1,0:00,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,16,-,17
,,,Ball Delivered,,,
,,,10 Tegan Graham > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,0:00,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,0:00,Misc Stat > Defensive Rebound > Makayla Timpson,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,FSU - BYU,,
BYU,2,9:43,3 Nani Falatea > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Short to < 17' > Miss 2 Pts,16,-,17
,,9:43,Shot > Nani Falatea > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:45,Player Movement > Sub Out > Away Player > Kourtney Weber,,,
,,9:45,Player Movement > Sub In > Away Player > Morgan Jones,,,
,,9:40,Misc Stat > Defensive Rebound > Mariana Valenzuela,,,
FSU,2,9:24,32 Valencia Myers > Cut > Flash > Turnover,16,-,17
,,9:24,Turnover > Any Type > Valencia Myers,,,
BYU,2,9:04,2 Shaylee Gonzales > Spot-Up > Drives Left > To Basket > Make 2 Pts Foul > 1 Pts,16,-,20
,,9:04,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:04,Personal Foul > Defensive - Any > Sammie Puisis,,,
BYU,2,9:04,2 Shaylee Gonzales > Non Possession > Free Throw,16,-,18
,,9:04,Shot > Shaylee Gonzales > Free Throw > Made,,,
,,9:04,Player Movement > Sub In > Home Player > Paisley Johnson,,,
,,9:04,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,9:04,Player Movement > Sub In > Away Player > O'Mariah Gordon,,,
,,9:04,Player Movement > Sub Out > Away Player > Sammie Puisis,,,
,,9:04,Player Movement > Sub Out > Away Player > Sara Bejedi,,,
,,9:04,Player Movement > Sub In > Away Player > Kourtney Weber,,,
FSU,2,8:52,32 Valencia Myers > Post-Up > Left Block > Defense Commits > Turnover,16,-,20
,,8:52,Turnover > Any Type > Valencia Myers,,,
,,8:52,Misc Stat > Steal > Maria Albiero,,,
BYU,2,8:34,22 Sara Hamson > No Play Type > Turnover,16,-,20
,,8:34,Turnover > Any Type > Sara Hamson,,,
,,8:34,Personal Foul > Offensive Foul - Player Control > Sara Hamson,,,
FSU,2,8:20,5 Mariana Valenzuela > Cut > Basket > Miss 2 Pts,16,-,20
,,8:20,Shot > Mariana Valenzuela > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:34,Player Movement > Sub Out > Home Player > Sara Hamson,,,
,,8:34,Player Movement > Sub In > Home Player > Lauren Gustin,,,
,,8:18,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,8:02,5 Maria Albiero > Off Screen > To Shooter's Right > Straight > Dribble Jumper > Short to < 17' > Miss 2 Pts,16,-,20
,,8:02,Shot > Maria Albiero > Any Type > 2 Point Attempt > Miss 2 Pts,,,
