Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TSA,Pt/TSA,Adj. Pts,Possessions,ThreshPts,Adj Pt,FGA,FTA,3FG,AST,TO,ORB,DRB,TRB,STL,BLK,PF,% of TRB,% of STL,% of PF,% of AST,% of BLK,% of ThreshPts,Position,Pos Num,Est Pos 1,Min Adj 1,Trim 1,Tm Avg 1,Adj Pos 2,Trim 2,Tm Avg 2,Adj Pos 3,Trim 3,Tm Avg 3,Adj Pos 4,Position,Est Off. Role 1,Min Adj 1,Trim 1,Tm Avg 1,Adj Off. Role 2,Trim 2,Tm Avg 2,Adj Off. Role 3,Trim 3,Tm Avg 3,Adj Off. Role 4,Offensive Role,Player,Adj. Pt,FGA,FTA,3FG,AST,TO,ORB,DRB,TRB,STL,BLK,PF,Scoring,Ballhandling,Rebounding,Defense,Pos Const,Raw BPM,% Min,Contrib,Player,Adj. Pt,FGA,FTA,3FG,AST,TO,ORB,DRB,TRB,STL,BLK,PF,Scoring,Ballhandling,Rebounding,Defense,Pos Const,Raw OBPM,% Min,Contrib,Player,Pos,Off. Role,Minutes,MPG,BPM,OBPM,DBPM,Contrib,VORP,ReMPG,ReMin,ExpBPM,ReBPM,ReOBPM,ReDBPM
11,Perri Malli,21,20,,147,17,41,0.415,3,15,0.2,14,26,0.538,,0,0,,10,16,26,7,1,7,7,23,37,41,0.9,34.3,294,7,11.7,13.9,0,1,2.4,2.4,3.4,5.4,8.8,0.3,2.4,7.8,20.80%,3.70%,38.40%,11.30%,43.00%,8.60%,PF,4,4.5,4.4,4.4,2.94,4.5,4.5,2.98,4.5,4.5,3,4.5,4.5,4.5,4.4,4.4,3.01,4.4,4.4,3,4.4,4.4,3,4.4,4.4,Perri Malli,0.86,-0.746,-0.328,0.389,0.976,-0.964,0.236,0.173,0,1.054,0.783,-0.367,0,0,1.7,-0.6,1.9,3.1,17.50%,0.5,Perri Malli,0.605,-0.45,-0.198,0.477,0.476,-0.843,0.446,0.075,0,0.279,0.178,-0.439,1.3,-0.9,1.9,-2.9,0.6,0,17.50%,0,Perri Malli (3rd),4.5,4.4,147,7.4,-1.4,-1.8,0.5,-0.2,0.11,6.1,101,-3.7,-2.3,-2.6,0.3
12,Tahlia White,21,17,,117,9,21,0.429,6,10,0.6,3,11,0.273,,5,8,0.625,5,8,13,5,5,1,9,11,29,25,1.18,27.4,234,11,11.7,9,3.4,2.6,2.1,3.8,2.1,3.4,5.6,2.1,0.4,4.7,13.10%,23.20%,23.10%,10.10%,7.70%,17.30%,SF,3,2.7,2.8,2.8,2.94,2.8,2.8,2.98,2.9,2.9,3,2.9,2.9,3.8,3.9,3.9,3.01,3.9,3.9,3,3.9,3.9,3,3.9,3.9,Tahlia White,0.86,-0.718,-0.316,0.389,0.791,-0.964,0.412,0.146,0,1.201,1.036,-0.367,3.5,-2,1.4,1.3,1.2,5.3,13.90%,0.7,Tahlia White,0.605,-0.432,-0.19,0.477,0.476,-0.72,0.52,-0.012,0,0.231,0.433,-0.439,3.8,-1.8,1.1,-1.4,0.3,2,13.90%,0.3,Tahlia White (1st),2.9,3.9,117,6.9,0.9,0.1,0.8,0.1,0.41,5.6,111,-3.8,-1.4,-1.8,0.4
13,Sara Hamson,21,21,,347,52,77,0.675,0,1,0,52,76,0.684,,9,14,0.643,26,58,84,11,19,54,16,46,113,83,1.36,107.5,694,52,15.5,11.1,2,0,1.6,2.3,3.7,8.4,12.1,2.7,7.8,6.6,28.50%,29.70%,32.60%,7.50%,140.50%,27.60%,C,5,6.3,6.1,5,2.94,6.2,5,2.98,6.2,5,3,6.2,5,3.1,3.3,3.3,3.01,3.2,3.2,3,3.2,3.2,3,3.2,3.2,Sara Hamson,0.86,-0.683,-0.301,0.389,1.034,-0.964,0.181,0.181,0,1.008,0.703,-0.367,5.1,-0.6,2.2,5.8,0.3,12.9,41.30%,5.3,Sara Hamson,0.605,-0.409,-0.18,0.477,0.476,-0.882,0.422,0.103,0,0.294,0.097,-0.439,4.5,-1.3,2.4,-1.3,0.1,4.4,41.30%,1.8,Sara Hamson (4th),5,3.2,347,16.5,8.4,2.5,5.9,3.5,4.31,13.9,34.3,-2.3,7.5,2.1,5.4
14,Signe Glantz,21,4,,9,0,2,0,0,1,0,0,1,0,,0,0,,0,2,2,3,1,0,0,0,0,2,0,-0.1,18,-1,-0.7,11.1,0,0,16.7,0,0,11.1,11.1,5.6,0,0,26.20%,60.20%,0.00%,79.10%,0.00%,-30.30%,SF,3,0.1,2.6,2.6,2.94,2.6,2.6,2.98,2.6,2.6,3,2.6,2.6,3.3,3.9,3.9,3.01,3.9,3.9,3,3.9,3.9,3,3.9,3.9,Signe Glantz,0.86,-0.719,-0.316,0.389,0.766,-0.964,0.436,0.143,0,1.221,1.071,-0.367,-8.6,12.8,1.6,6.8,1.1,13.6,1.10%,0.1,Signe Glantz,0.605,-0.432,-0.19,0.477,0.476,-0.703,0.531,-0.024,0,0.225,0.467,-0.439,-5.2,7.9,-0.3,1.2,0.1,3.7,1.10%,0,Signe Glantz (3rd),2.6,3.9,9,2.3,9.2,1.9,7.3,0.1,0.12,1.1,147,-4.6,-3.8,-4.2,0.4
15,Kyra Beckman,21,14,,52,5,18,0.278,1,6,0.167,4,12,0.333,,0,0,,1,19,20,2,1,0,7,6,11,18,0.61,9.8,104,-2,9.4,17.3,0,1,1.9,6.7,1,18.3,19.2,1,0,5.8,45.30%,10.40%,28.30%,9.10%,0.00%,-8.00%,PF,4,5.8,4.9,4.9,2.94,5,5,2.98,5,5,3,5,5,6.1,5.1,5,3.01,5,5,3,5,5,3,5,5,Kyra Beckman,0.86,-0.78,-0.343,0.389,1.031,-0.964,0.184,0.181,0,1.01,0.707,-0.367,-5,-4.5,3.5,-1.1,2.8,-4.4,6.20%,-0.3,Kyra Beckman,0.605,-0.472,-0.208,0.477,0.476,-0.88,0.423,0.102,0,0.293,0.101,-0.439,-2,-5,2.3,-2.2,0.9,-6.1,6.20%,-0.4,Kyra Beckman (1st),5,5,52,3.7,-8.8,-8,-0.9,-0.5,-0.42,2.9,132.7,-4.2,-5.5,-5.3,-0.2
16,Kayla Belles-Lee,21,5,,10,2,3,0.667,0,0,,2,3,0.667,,0,0,,2,1,3,0,0,1,0,3,4,3,1.33,3.8,20,2,19,15,0,0,0,0,10,5,15,0,5,15,35.30%,0.00%,73.70%,0.00%,90.30%,33.10%,PF,4,7.4,4.6,4.6,2.94,4.6,4.6,2.98,4.6,4.6,3,4.7,4.7,3.2,3.9,3.9,3.01,3.8,3.8,3,3.8,3.8,3,3.8,3.8,Kayla Belles-Lee,0.86,-0.717,-0.315,0.389,0.995,-0.964,0.218,0.175,0,1.039,0.757,-0.367,5.6,0,3.1,-1.7,1.2,8.1,1.20%,0.1,Kayla Belles-Lee,0.605,-0.431,-0.19,0.477,0.476,-0.856,0.438,0.084,0,0.284,0.151,-0.439,5,0,4.8,-5.8,0.4,4.4,1.20%,0.1,Kayla Belles-Lee (3rd),4.7,3.8,10,2,3.7,2.5,1.2,0,0.07,1.1,146.7,-4.6,-4,-4.1,0.1
1,Anamaria Virjoghe,21,22,,187,15,41,0.366,0,0,,15,41,0.366,,10,14,0.714,15,31,46,8,8,16,16,17,40,47,0.85,34.8,376,3,9.3,10.9,3.7,0,2.1,4.3,4,8.3,12.2,2.1,4.3,4.5,25.90%,21.80%,21.70%,9.20%,102.20%,3.10%,PF,4,5.4,5.1,5,3.06,5.1,5,3,5.1,5,3,5.1,5,5.1,4.9,4.9,3.03,4.9,4.9,3,4.9,4.9,3,4.9,4.9,Anamaria Virjoghe,0.86,-0.772,-0.34,0.389,1.034,-0.964,0.181,0.181,0,1.008,0.703,-0.367,-1.7,-1.9,2.2,3.5,2.6,4.6,20.60%,1,Anamaria Virjoghe,0.605,-0.467,-0.205,0.477,0.476,-0.882,0.422,0.103,0,0.294,0.097,-0.439,-0.3,-2.7,2.5,-0.9,0.8,-0.6,20.60%,-0.1,Anamaria Virjoghe (1st),5,4.9,187,8.5,2.1,-1.9,4.1,0.4,0.85,7.2,87.7,-3.5,0.3,-2.4,2.8
2,Lily Scanlon,21,21,,147,12,40,0.3,5,15,0.333,7,25,0.28,,12,18,0.667,2,8,10,15,2,1,20,15,41,48,0.86,35.7,295,4,12.1,13.5,6.1,1.7,5.1,6.8,0.7,2.7,3.4,0.7,0.3,5.1,7.20%,6.90%,24.40%,21.90%,8.10%,4.40%,PG,1,2.2,1.9,1.9,3.06,1.8,1.8,3,1.8,1.8,3,1.8,1.8,4.2,4.1,4.1,3.03,4.1,4.1,3,4.1,4.1,3,4.1,4.1,Lily Scanlon,0.86,-0.73,-0.321,0.389,0.672,-0.964,0.525,0.129,0,1.295,1.2,-0.367,-0.8,-3.1,0.7,-0.6,1,-2.7,16.20%,-0.4,Lily Scanlon,0.605,-0.44,-0.193,0.477,0.476,-0.641,0.569,-0.068,0,0.201,0.597,-0.439,1,-1.9,0.2,-1.9,-0.5,-3.2,16.20%,-0.5,Lily Scanlon (4th),1.8,4.1,147,7,-5.3,-4.5,-0.8,-0.9,-0.53,5.9,101,-3.7,-4.6,-4.2,-0.5
3,Jenn Wirth,21,24,,578,127,224,0.567,0,1,0,127,223,0.57,,50,70,0.714,66,125,191,54,27,17,41,44,304,255,1.19,275.9,1161,105,23.8,19.3,6,0,4.6,3.5,5.7,10.8,16.4,2.3,1.5,3.8,34.80%,23.80%,18.20%,20.10%,35.10%,32.80%,PF,4,4.6,4.6,4.6,3.06,4.5,4.5,3,4.5,4.5,3,4.5,4.5,1.9,2,2,3.03,2,2,3,2,2,3,2,2,Jenn Wirth,0.86,-0.615,-0.271,0.389,0.977,-0.964,0.236,0.173,0,1.054,0.782,-0.367,6.9,1.1,3.2,2.2,-1.4,12.1,63.70%,7.7,Jenn Wirth,0.605,-0.366,-0.161,0.477,0.476,-0.844,0.445,0.076,0,0.279,0.176,-0.439,6.4,-0.8,3.3,-0.8,-0.4,7.7,63.70%,4.9,Jenn Wirth (5th),4.5,2,578,24.1,9.6,6.4,3.2,6.1,7.37,20.6,0,-1.1,9.6,6.4,3.2
4,LeeAnne Wirth,21,24,,496,90,162,0.556,1,4,0.25,89,158,0.563,,27,31,0.871,46,92,138,42,20,12,36,53,208,176,1.18,188.6,997,71,18.9,16.3,3.1,0.1,4.2,3.6,4.6,9.2,13.8,2,1.2,5.3,29.30%,20.60%,25.50%,18.20%,28.90%,25.80%,PF,4,4.2,4.2,4.2,3.06,4.2,4.2,3,4.2,4.2,3,4.2,4.2,2.6,2.7,2.7,3.03,2.7,2.7,3,2.7,2.7,3,2.7,2.7,LeeAnne Wirth,0.86,-0.653,-0.287,0.389,0.939,-0.964,0.272,0.167,0,1.084,0.834,-0.367,4.8,0.5,2.8,1.2,-0.4,8.9,54.70%,4.9,LeeAnne Wirth,0.605,-0.39,-0.172,0.477,0.476,-0.818,0.461,0.058,0,0.269,0.229,-0.439,4.6,-1,2.7,-1.5,-0.1,4.7,54.70%,2.6,LeeAnne Wirth (2nd),4.2,2.7,496,20.7,6.4,3.4,3,3.5,4.57,17.7,0,-1.7,6.4,3.4,3
