"","Player Name","Position","Institution","Initiated Date","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK"
"182","AMARI CONN","G","University of Arkansas at Little Rock","03/08/2022",3.89799780649857,0.61,9,23.1,5.8,1.9,1,0.6,0.2,1.2,37.5,0,38.5,208,21,56,0,0,10,26,52,7,10,17,9,11,5,2
"183","KARLA VRES","F","American University","03/28/2022",3.85837753026686,0.6,21,11.3,3.5,1.6,0.3,0.1,0.4,0.6,36.4,100,30.8,238,28,77,1,1,16,52,73,7,26,33,6,12,2,9
"184","KARI NIBLACK","F","West Virginia University","03/16/2022",3.85699109517228,0.6,27,19.5,7.6,4,0.6,0.7,1.7,1.6,44.3,71.1,0,526,70,158,64,90,0,1,204,42,66,108,17,44,20,45
"185","FRUZSINA HORVATH","F","St. Francis College Brooklyn","03/26/2022",3.8418244054353,0.6,18,25.4,11.7,5.4,1.1,0.7,0.3,2,43.2,66.7,40,458,82,190,18,27,28,70,210,29,68,97,19,36,13,6
"186","MEGAN JENSEN","C","Utah Valley University","03/14/2022",3.8413394667069,0.6,31,17.3,6.3,4.4,1.3,0.5,0.7,1.5,53.7,69.2,0,536,88,164,18,26,0,10,194,48,87,135,39,46,16,23
"187","TIONNA CARTER","F","Presbyterian College","03/08/2022",3.8218870138909,0.59,26,25.5,10.4,5.9,0.5,0.7,0.6,2.1,44.5,67.9,20.8,664,97,218,72,106,5,24,271,56,97,153,12,55,18,16
"188","ZARIA HARLEAUX","F","Southern University, Baton Rouge","03/28/2022",3.81982063257798,0.59,13,5.4,1.2,1.5,0,0.2,0.3,0.2,60,66.7,0,70,6,10,4,6,0,0,16,10,10,20,0,3,2,4
"189","RITA IGBOKWE","C","University of Pittsburgh","03/17/2022",3.81157946360584,0.59,30,22,6.1,7.4,0.3,0.7,2.3,1.5,44.9,53.2,0,660,75,167,33,62,0,0,183,87,136,223,9,46,22,68
"190","HANNAH ROBERTS","C","University of South Carolina Upstate","03/09/2022",3.80887640025306,0.59,20,10.5,5.1,1.3,0.5,0.8,0.1,0.9,45.2,75,45.9,209,38,84,9,12,17,37,102,6,19,25,9,18,16,2
"191","KADIATOU SISSOKO","F","University of Minnesota, Twin Cities","03/23/2022",3.79710516680435,0.59,33,24.6,10.8,5.7,1.4,0.7,0.3,2.7,41.5,72.2,21.4,813,136,328,78,108,6,28,356,70,119,189,46,90,24,10
"192","NYKALE CRAMER","G","Abilene Christian University","03/23/2022",3.79606456286542,0.59,22,6,3.3,0.6,0.5,0.3,0,0.3,46.9,72.2,37.8,132,23,49,13,18,14,37,73,3,10,13,10,7,6,1
"193","EMILY MCATEER","F","Loyola University Maryland","03/07/2022",3.78964328120661,0.59,16,8.4,1.8,1.6,0.1,0.3,0.1,0.3,28.9,66.7,21.4,134,11,38,4,6,3,14,29,8,17,25,2,5,4,1
"194","CRYSTAL SMITH","G","Tarleton State University","03/21/2022",3.7846771612331,0.59,7,6.9,1.6,0.9,1.1,1.1,0.1,1,40,42.9,0,48,4,10,3,7,0,0,11,0,6,6,8,7,8,1
"195","JORDAN SWEENEY","G","Idaho State University","03/18/2022",3.76323451276739,0.59,25,9.2,1.7,1.1,0.8,0.4,0,0.5,51.7,87.5,50,231,15,29,7,8,6,12,43,7,21,28,21,12,9,0
"196","NICOLE AVILA-AMBROSI","G","California Baptist University","03/23/2022",3.75655897423875,0.58,23,15.1,5.3,1.4,0.8,1.1,0.2,0.9,37.3,52,32.4,348,44,118,13,25,22,68,123,18,14,32,18,20,25,4
