"","Player Name","Position","Institution","Initiated Date","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK"
"474","JENNA JORDAN","F","Manhattan College","03/22/2022",1.01522291213223,0.16,29,23.1,6.2,5.3,0.9,0.3,0.2,1.4,50.7,64.6,0,671,74,146,31,48,0,12,179,57,96,153,25,42,10,7
"475","SHYMARYIA CHRISTOPHER","G","Southeast Missouri State University","03/05/2022",1.01440458544622,0.16,17,16.8,6.8,2.8,1.4,0.6,0.4,1.7,43.9,61.4,40,285,43,98,27,44,2,5,115,12,36,48,23,29,10,6
"476","MILLIE PRIOR","F","Fordham University","03/28/2022",0.973519198725311,0.15,25,10.7,1.4,2.2,0.7,0.2,0.4,0.5,38.2,57.1,0,267,13,34,8,14,0,0,34,44,12,56,17,12,4,10
"477","GRACEN WILLIAMS","G","University of Louisiana Monroe","03/16/2022",0.9703531648642,0.15,25,15.6,2.6,2.2,1.6,0.8,0.1,2,30,75,16.7,389,18,60,27,36,2,12,65,14,41,55,39,49,19,2
"478","TAKIA DAVIS","F","University of South Carolina Upstate","03/09/2022",0.964849254176544,0.15,21,7.4,3.1,2.2,0.4,0.4,0.4,0.8,58.7,50,0,155,27,46,11,22,0,0,65,30,17,47,8,17,9,8
"479","JAMAYA BLANKS","G","University of Maryland Eastern Shore","03/29/2022",0.950641256970122,0.15,19,10.3,3.1,2.1,0.9,0.4,0,1.2,29.3,80,11.1,195,22,75,12,15,2,18,58,10,30,40,18,22,8,0
"480","TAYLOR WILLIAMS","G","Bethune-Cookman University","03/18/2022",0.921664566156196,0.14,22,20.2,4.2,3.2,0.7,1.6,0.2,2.1,30.1,67.5,16.7,445,31,103,27,40,3,18,92,31,40,71,16,47,36,4
"481","SHAWN MILLS","F","Hampton University","03/21/2022",0.9109582879041,0.14,16,20.4,5.1,2.5,1,0.8,0.1,1.4,52.4,53.3,0,326,33,63,16,30,0,1,82,20,20,40,16,22,12,2
"482","NEVAEH PARKINSON","C","University of New Mexico","03/29/2022",0.878046671463115,0.14,12,5.9,2.7,2.5,0.3,0.2,0.3,0.5,54.2,60,0,71,13,24,6,10,0,5,32,12,18,30,3,6,2,4
"483","BREAZIA ROBINSON","C","Delaware State University","03/15/2022",0.868661931069672,0.14,20,31.9,6,6.1,0.2,0.4,0.6,1.2,60,54.8,0,637,48,80,23,42,0,0,119,50,72,122,4,23,7,12
"484","CYAN DYKE","G","Furman University","03/30/2022",0.857050058684666,0.14,7,3,0.7,2,0,0,0,1.1,25,50,0,21,1,4,3,6,0,0,5,7,7,14,0,8,0,0
"485","DESTINEE MARSHALL","G","Radford University","03/14/2022",0.854095059683693,0.14,23,22.3,6.1,1.7,2.3,0.7,0,2.4,35.3,52.2,30.9,514,54,153,12,23,21,68,141,7,32,39,53,56,15,1
"486","ALANA DENSON","G","Morehead State University","03/01/2022",0.845526195935198,0.14,24,21.9,6.6,2.4,2.1,1.3,0.1,3.5,35.5,54.5,33.3,526,61,172,24,44,13,39,159,17,40,57,51,85,30,2
"487","JELISSA REESE","G","Troy University","03/23/2022",0.82751927950803,0.13,6,4.3,0.3,1.2,0.3,0.2,0,0.7,7.7,0,0,26,1,13,0,0,0,1,2,6,1,7,2,4,1,0
"488","KENNEDI JACKSON","F","Oklahoma State University","03/31/2022",0.825459590444785,0.13,5,3,1,0.2,0,0,0.2,0.8,25,75,0,15,1,4,3,4,0,0,5,0,1,1,0,4,0,1
"489","AUDRA LEIPOLD","G","Samford University","03/17/2022",0.823095415905493,0.13,14,17.3,4.7,2.3,1.4,0.6,0,1.6,43.9,63.6,28.6,242,25,57,14,22,2,7,66,3,29,32,20,22,8,0
"490","SHUNTORRI RODGERS","G","Sam Houston State University","03/25/2022",0.812048913042149,0.13,21,4,1.4,0.4,0.1,0.2,0.2,0.7,34.8,76.5,100,84,8,23,13,17,1,1,30,4,5,9,3,14,4,5
"491","CORIAH BECK","G","University of Memphis","03/21/2022",0.808073861944866,0.13,28,8.1,3.3,0.9,0.4,0.2,0.1,0.8,39.8,65.4,33.3,227,35,88,17,26,5,15,92,9,15,24,12,22,6,2
"492","ARIAH POWELL","G","Texas A&M University-Corpus Christi","03/23/2022",0.798097838062592,0.13,24,9.6,1.8,0.8,0.8,0.6,0,1.2,28.3,53.3,19,230,15,53,8,15,4,21,42,9,11,20,20,29,14,0
"493","LOAN-ANH JOHNSON","G","University of Maryland, Baltimore County","03/30/2022",0.792126492950549,0.13,23,19.8,5.1,1.8,0.5,0.8,0,1.7,40.4,66.7,0,455,42,104,34,51,0,5,118,13,29,42,12,40,19,1
"494","SIANNY SANCHEZ-OLIVER","G","Delaware State University","03/14/2022",0.771342677573682,0.13,15,32.1,8.7,3.8,2.7,0.9,0.1,4.9,31.1,59,20,481,51,164,23,39,5,25,130,7,50,57,40,73,14,1
"495","TEDERIA ASHLEY","G","Alabama State University","03/22/2022",0.74829625671809,0.13,21,8.5,2,1.9,0.3,0.3,0.2,0.9,31.4,53.8,20,179,16,51,7,13,2,10,41,15,25,40,7,19,7,5
"496","KAITLYN AMMONS","F","DePaul University","03/18/2022",0.73636344929134,0.12,12,9.3,2.3,1,0.4,0.1,0.3,1.1,44.4,50,0,111,12,27,3,6,0,4,27,4,8,12,5,13,1,3
"497","AMANDA BLAKE","F","University of North Carolina Asheville","03/16/2022",0.727130206393775,0.12,30,17.5,4.2,4.4,0.4,0.4,0.3,1.3,44.2,56.8,0,525,53,120,21,37,0,0,127,44,87,131,13,40,11,9
"498","TEIONNI MCDANIEL","G","Northern Arizona University","03/18/2022",0.716668784664855,0.12,19,10,2.9,1.2,1.3,0.5,0.1,1.4,48.9,72.7,16.7,190,23,47,8,11,1,6,55,4,19,23,24,27,10,1
"499","SIERRA SMITH","F","University of Hartford","03/22/2022",0.695974650949797,0.12,25,13.6,2.8,4.2,0.4,0.6,0.3,1.7,41.7,40.9,0,339,30,72,9,22,0,2,69,42,62,104,11,42,15,7
"500","LYA FARCY","G","University of Hartford","03/17/2022",0.695197284094711,0.12,20,25,5.5,2.8,2.5,1,0.3,2.8,39.3,57.1,22.7,499,48,122,8,14,5,22,109,16,40,56,50,55,19,5
"501","JAYLA JOHNSON","G","The University of North Carolina at Greensboro","03/15/2022",0.67120123394921,0.12,10,3.7,0.9,0.8,0.1,0.2,0,0.2,37.5,75,0,37,3,8,3,4,0,1,9,4,4,8,1,2,2,0
"502","EMILY ESPOSITO","G","Boston University","03/24/2022",0.667907669515164,0.12,19,27.3,6.4,3.1,2.3,0.6,0.3,2.5,33.3,76.5,23.4,519,49,147,13,17,11,47,122,11,47,58,44,47,12,6
"503","ERIN HARRIS","G","Northwestern State University","03/14/2022",0.640710769833203,0.12,14,10.4,1.6,1.3,0.6,0.9,0,1.1,23.1,76.9,0,145,6,26,10,13,0,7,22,6,12,18,8,16,12,0
"504","VICTORIA WOODS","F","University of Louisiana Monroe","03/16/2022",0.637444197094396,0.12,19,7.1,1.9,2.1,0.1,0.2,0.2,0.5,52,52.4,0,134,13,25,11,21,0,0,37,19,20,39,2,9,3,3
"505","CENTURY MCCARTNEY","G","Northeastern University","03/23/2022",0.6357435310285,0.12,23,14.7,2.7,4.1,0.7,0.4,0.2,1.3,28.8,67.6,0,339,19,66,23,34,0,9,61,28,67,95,16,31,10,4
"506","PARIS ATCHLEY","G","University of Idaho","03/23/2022",0.566301990031274,0.11,29,19,4,1.9,1,0.5,0,1.7,37.1,60.9,28.2,551,39,105,28,46,11,39,117,3,53,56,29,50,15,1
"507","CHANTAE EMBRY","F","Texas Tech University","03/23/2022",0.548028919921649,0.11,28,12.4,4.5,2.6,0.3,0.2,0,1,53.5,77.1,29.6,347,46,86,27,35,8,27,127,23,50,73,9,29,5,0
"508","ANTOANETA ALEXE","G","Winthrop University","03/10/2022",0.505761403168586,0.1,23,13.8,1.7,1.4,0.1,0.1,0,1.1,25.9,66.7,20,317,15,58,4,6,5,25,39,8,25,33,3,25,2,1
"509","AZANA BAINES","G","Virginia Polytechnic Institute and State University","03/25/2022",0.493806511930368,0.1,31,20.4,5.2,6,1,0.3,0.4,1.8,53.8,46.5,0,632,71,132,20,43,0,1,162,53,132,185,31,56,10,11
"510","SHIANNE JOHNSON","G","Purdue University Fort Wayne","03/04/2022",0.493081237871275,0.1,19,11.6,2.7,2.2,0.5,0.4,0.1,1.2,28.3,92.9,29.4,221,17,60,13,14,5,17,52,11,30,41,10,23,8,1
"511","AKYIA BAKER","G","University of Detroit Mercy","03/16/2022",0.48644169129225,0.1,26,11.3,1.9,1,0.9,0.6,0,1.2,29.7,75,0,293,19,64,12,16,0,8,50,6,21,27,24,30,15,1
"512","JALYN VAN DYKE","F","Binghamton University","03/16/2022",0.479428583636259,0.1,29,20.2,4.5,4.5,1.1,0.5,0.1,2.3,36.7,87.5,24.2,585,47,128,21,24,15,62,130,31,100,131,31,67,14,4
"513","LAILA ACOX","F","East Carolina University","03/09/2022",0.44195192811286,0.1,11,6.7,2.2,2,0,0.5,0.4,1.5,33.3,40,0,74,9,27,6,15,0,2,24,13,9,22,0,16,6,4
"514","JAZMYN WOMACK","G","Nicholls State University","03/24/2022",0.430492086560463,0.1,24,10.6,3,2,0.3,0.3,0.2,0.9,31.8,81.8,19.5,254,27,85,9,11,8,41,71,17,32,49,6,22,8,4
"515","ALANNA CARTER","G","University of Akron","03/30/2022",0.429026737808388,0.1,10,9.3,2.4,1.4,0.6,0.4,0,0.4,47.4,46.2,0,93,9,19,6,13,0,1,24,9,5,14,6,4,4,0
"516","SYDNEY GOUARD","G","Oakland University","03/23/2022",0.42698879613578,0.1,29,16.4,2.9,4.4,0.8,0.5,0.1,1.2,36.7,71.4,25,475,36,98,10,14,3,12,85,56,71,127,22,34,14,3
"517","CALI KONEK","G","The University of North Carolina at Charlotte","03/31/2022",0.420718274340793,0.1,10,5.3,0.8,0.2,0.1,0,0,0.5,21.1,0,0,53,4,19,0,0,0,15,8,0,2,2,1,5,0,0
"518","AARONETTE VONLEH","F","University of Arizona","03/25/2022",0.387270060862389,0.09,16,7.4,4.3,1.7,0.1,0.4,0,0.3,61.5,33.3,0,119,32,52,5,15,0,1,69,20,7,27,1,5,6,0
"519","RITA JAMES","G","University of Central Arkansas","03/08/2022",0.383661325682144,0.09,27,11.7,1.1,1.6,1,0.4,0,1.4,23.1,63.6,0,316,12,52,7,11,0,5,31,12,31,43,28,39,12,0
