Name,BPM_Pred
Shaylee Gonzales,7.5811
Nani Falatea,8.38311
Arielle MackeyWilliams,-6.70085
Maria Albiero,7.78241
Tegan Graham,6.84926
Kaylee Smiler,0.63182
Lauren Gustin,-0.38657
Paisley Harding,6.10587
Devry Millett,4.93589
Sara Hamson,-1.32399
Emma Calvert,-3.08095
Kate Vorwaller,-4.85435
