Name,BPM_Pred
Shaylee Gonzales,7.09266
Nani Falatea,2.94352
Arielle MackeyWilliams,-6.0607
Maria Albiero,1.93253
Tegan Graham,6.63469
Kaylee Smiler,2.41819
Lauren Gustin,3.77827
Paisley Harding,5.17658
Devry Millett,1.99372
Heather Hamson,-6.67132
Sara Hamson,1.85594
Rose Bubukar,-6.67132
Emma Calvert,0.90083
Kate Vorwaller,-4.81342
