Name,BPM_Pred
Shaylee Gonzales,-2.67608
Maria Albiero,-6.55058
Tegan Graham,2.78008
Kaylee Smiler,1.85383
Lauren Gustin,-4.82732
Paisley Harding,6.82797
Sara Hamson,1.94022
