Name,BPM_Pred
Shaylee Gonzales,6.48069
Nani Falatea,4.57699
Arielle MackeyWilliams,-5.62259
Maria Albiero,1.51761
Tegan Graham,5.69024
Kaylee Smiler,1.71565
Lauren Gustin,4.19775
Paisley Harding,6.91638
Devry Millett,-1.07604
Sara Hamson,2.65791
Rose Bubakar,-0.68279
Emma Calvert,1.5973
Kate Vorwaller,-0.15957
