Name,BPM_Pred
Shaylee Gonzales,8.25164
Nani Falatea,-0.24378
Maria Albiero,1.85383
Tegan Graham,-3.90455
Lauren Gustin,-2.38623
Paisley Harding,6.74807
Sara Hamson,1.86229
