Name,BPM_Pred
Shaylee Gonzales,2.82275
Nani Falatea,8.07028
Arielle MackeyWilliams,2.49685
Maria Albiero,-5.94772
Tegan Graham,1.78901
Lauren Gustin,-3.59104
Paisley Johnson,5.06628
Sara Hamson,2.04838
Emma Calvert,1.81363
Kate Vorwaller,1.85383
