Name,BPM_Pred
Shaylee Gonzales,6.67274
Nani Falatea,6.97485
Arielle MackeyWilliams,6.4293
Maria Albiero,-5.87852
Tegan Graham,6.19869
Kaylee Smiler,-3.43395
Lauren Gustin,1.03049
Paisley Harding,5.20677
Devry Millett,2.49111
Sara Hamson,2.88506
Emma Calvert,2.51743
