Name,BPM_Pred
Shaylee Gonzales,6.44032
Nani Falatea,4.38898
Arielle MackeyWilliams,-5.58488
Maria Albiero,1.25263
Tegan Graham,5.32632
Kaylee Smiler,0.34473
Lauren Gustin,4.21562
Paisley Harding,5.52578
Devry Millett,1.99372
Sara Hamson,2.6202
Emma Calvert,1.26408
Kate Vorwaller,-4.78529
