Name,BPM_Pred
Shaylee Gonzales,8.36157
Nani Falatea,0.88407
Arielle MackeyWilliams,-5.92834
Maria Albiero,0.98421
Tegan Graham,4.49622
Kaylee Smiler,1.07159
Lauren Gustin,2.92466
Paisley Harding,0.93929
Devry Millett,-1.92046
Sara Hamson,0.70189
Emma Calvert,1.55674
Kate Vorwaller,-0.93023
