Name,BPM_Pred
Shaylee Gonzales,3.50741
Nani Falatea,-1.57355
Maria Albiero,3.03247
Tegan Graham,1.08967
Lauren Gustin,1.86568
Paisley Johnson,1.06943
Sara Hamson,2.21539
Emma Calvert,6.37264
