Name,BPM_Pred
Shaylee Gonzales,-0.81604
Nani Falatea,-3.29101
Arielle MackeyWilliams,-6.57221
Maria Albiero,-2.04261
Tegan Graham,5.25962
Kaylee Smiler,5.21014
Lauren Gustin,1.28567
Paisley Johnson,1.22504
Sara Hamson,2.63435
Emma Calvert,-6.48193
Kate Vorwaller,-0.61012
