Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,USU - BYU,,
USU,1,6:15,3 Laci Hawthorne > Spot-Up > Drives Right > To Basket > Make 2 Pts,2,-,11
,,6:15,Shot > Laci Hawthorne > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,6:09,13 Paisley Johnson > Transition > Right Wing > To Basket > Foul,2,-,11
,,6:09,Personal Foul > Defensive - Any > Laci Hawthorne,,,
BYU,1,6:09,13 Paisley Johnson > Non Possession > Free Throw,2,-,12
,,6:09,Shot > Paisley Johnson > Free Throw > Made,,,
BYU,1,6:09,13 Paisley Johnson > Non Possession > Free Throw,2,-,13
,,6:09,Shot > Paisley Johnson > Free Throw > Made,,,
USU,1,5:52,4 E'Lease Stafford > ISO > Left > Early Jumper > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2,-,13
,,5:52,Shot > E'lease Stafford > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:48,Misc Stat > Team Defensive Rebound > Home,,,
BYU,1,5:36,13 Paisley Johnson > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,2,-,13
,,5:36,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,5:32,Player Movement > Sub In > Away Player > Emmie Harris,,,
,,5:32,Player Movement > Sub Out > Away Player > E'lease Stafford,,,
,,5:32,Misc Stat > Team Defensive Rebound > Away,,,
USU,1,5:07,3 Laci Hawthorne > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Turnover,2,-,13
,,5:07,Turnover > Any Type > Laci Hawthorne,,,
BYU,1,4:50,5 Maria Albiero > Cut > Flash > Miss 2 Pts,2,-,13
,,4:50,Shot > Maria Albiero > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,4:46,2 Shaylee Gonzales > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts,2,-,15
,,4:46,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,4:47,Misc Stat > Offensive Rebound > Shaylee Gonzales,,,
USU,1,4:32,23 Shyla Latone > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2,-,15
,,4:32,Shot > Shyla Latone > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,4:29,Misc Stat > Defensive Rebound > Shaylee Gonzales,,,
BYU,1,4:19,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,2,-,16
,,,Ball Delivered,,,
,,,12 Lauren Gustin > P&R Roll Man > Slips the Pick > To Basket > Foul,,,
,,4:19,Player Movement > Sub In > Away Player > Manna Mensah,,,
,,4:19,Player Movement > Sub Out > Away Player > Faith Brantley,,,
,,4:19,Personal Foul > Defensive - Any > Shyla Latone,,,
BYU,1,4:19,12 Lauren Gustin > Non Possession > Free Throw,2,-,16
,,4:19,Shot > Lauren Gustin > Free Throw > Missed,,,
,,4:19,Misc Stat > Team Offensive Rebound > Home,,,
BYU,1,4:19,12 Lauren Gustin > Non Possession > Free Throw,2,-,16
,,4:19,Shot > Lauren Gustin > Free Throw > Made,,,
USU,1,3:58,21 Kaylin Randhawa > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,2,-,16
,,,Ball Delivered,,,
,,,10 Emmie Harris > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,,,
,,3:58,Shot > Emmie Harris > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,3:58,Misc Stat > Block > Paisley Johnson,,,
USU,1,3:54,10 Emmie Harris > Offensive Rebound > Long > Run Offense,2,-,16
,,3:54,Misc Stat > Offensive Rebound > Emmie Harris,,,
USU,1,3:51,21 Kaylin Randhawa > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,5,-,16
,,3:51,Shot > Kaylin Randhawa > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:51,Misc Stat > Assist > Manna Mensah,,,
BYU,1,3:35,2 Shaylee Gonzales > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts,5,-,18
,,3:35,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
USU,1,3:24,3 Laci Hawthorne > Spot-Up > Drives Left > To Basket > Foul,5,-,18
,,3:24,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,3:24,Player Movement > Sub Out > Home Player > Lauren Gustin,,,
,,3:24,Personal Foul > Defensive - Any > Lauren Gustin,,,
USU,1,3:24,3 Laci Hawthorne > Non Possession > Free Throw,6,-,18
,,3:24,Shot > Laci Hawthorne > Free Throw > Made,,,
USU,1,3:24,3 Laci Hawthorne > Non Possession > Free Throw,6,-,18
,,3:24,Shot > Laci Hawthorne > Free Throw > Missed,,,
,,3:24,Misc Stat > Defensive Rebound > Sara Hamson,,,
BYU,1,3:12,13 Paisley Johnson > Off Screen > To Shooter's Left > Flare > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,6,-,21
,,3:12,Shot > Paisley Johnson > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:12,Misc Stat > Assist > Maria Albiero,,,
USU,1,2:58,3 Laci Hawthorne > Post-Up > Right Block > Face-up > Drive Middle > Make 2 Pts,8,-,21
,,2:58,Shot > Laci Hawthorne > Any Type > 2 Point Attempt > Make 2 Pts,,,
BYU,1,2:51,2 Shaylee Gonzales > Transition > Right Wing > Dribble Jumper > Long/3pt > Make 3 Pts,8,-,24
,,2:51,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,2:51,Misc Stat > Assist > Maria Albiero,,,
USU,1,2:37,3 Laci Hawthorne > Spot-Up > Drives Right > To Basket > Foul,9,-,24
,,2:37,Player Movement > Sub Out > Away Player > Emmie Harris,,,
,,2:37,Player Movement > Sub In > Away Player > Taylor Franson,,,
,,2:37,Player Movement > Sub Out > Away Player > Kaylin Randhawa,,,
,,2:37,Player Movement > Sub In > Away Player > Olivia Wikstrom,,,
,,2:37,Personal Foul > Defensive - Any > Sara Hamson,,,
USU,1,2:37,3 Laci Hawthorne > Non Possession > Free Throw,8,-,24
,,2:37,Shot > Laci Hawthorne > Free Throw > Missed,,,
USU,1,2:37,3 Laci Hawthorne > Non Possession > Free Throw,9,-,24
,,2:37,Shot > Laci Hawthorne > Free Throw > Made,,,
BYU,1,2:29,2 Shaylee Gonzales > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,9,-,24
,,2:29,Shot > Shaylee Gonzales > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:26,Misc Stat > Defensive Rebound > Manna Mensah,,,
USU,1,2:14,23 Shyla Latone > Hand Off > From Dribble > Top > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,9,-,24
,,2:14,Shot > Shyla Latone > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,2:14,Misc Stat > Block > Shaylee Gonzales,,,
