Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BYU - UWV,,
,,5:50,Shot > Tegan Graham > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,5:47,Misc Stat > Defensive Rebound > Jasmine Carson,,,
UWV,1,5:41,30 Madisen Smith > Transition > Ballhandler > Turnover,9,-,8
,,5:41,Turnover > Any Type > Madisen Smith,,,
,,5:41,Misc Stat > Steal > Tegan Graham,,,
BYU,1,5:37,10 Tegan Graham > Transition > Ballhandler > Turnover,9,-,8
,,5:37,Turnover > Any Type > Tegan Graham,,,
,,5:37,Misc Stat > Steal > Kirsten Deans,,,
UWV,1,5:35,3 Kirsten Deans > Non Possession > Non Shooting Foul,9,-,8
,,5:35,Personal Foul > Defensive - Any > Shaylee Gonzales,,,
UWV,1,5:06,30 Madisen Smith > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,9,-,8
,,5:06,Shot > Madisen Smith > Any Type > 2 Point Attempt > Miss 2 Pts,,,
UWV,1,5:02,3 Kirsten Deans > Offensive Rebound > Long > Run Offense,9,-,8
,,5:02,Misc Stat > Offensive Rebound > Kirsten Deans,,,
UWV,1,4:59,3 Kirsten Deans > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Turnover,9,-,8
,,4:59,Turnover > Any Type > Kirsten Deans,,,
,,4:59,Misc Stat > Steal > Tegan Graham,,,
BYU,1,4:47,12 Lauren Gustin > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Miss 2 Pts,9,-,8
,,4:47,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:44,Misc Stat > Defensive Rebound > Blessing Ejiofor,,,
UWV,1,4:37,30 Madisen Smith > Transition > Ballhandler > To Basket > Miss 2 Pts,9,-,8
,,4:37,Shot > Madisen Smith > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:37,Misc Stat > Team Offensive Rebound > Home,,,
,,4:37,Misc Stat > Block > Tegan Graham,,,
UWV,1,4:15,3 Kirsten Deans > Spot-Up > Turnover,9,-,8
,,4:15,Turnover > Any Type > Kirsten Deans,,,
UWV,1,3:34,21 Ariana Gray > Cut > Flash > Make 2 Pts,9,-,10
,,3:34,Shot > Ariana Gray > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,3:34,Misc Stat > Assist > Janaiya Quinerly,,,
BYU,1,3:17,3 Nani Falatea > No Play Type > Turnover,9,-,10
,,3:17,Personal Foul > Offensive Foul - Player Control > Nani Falatea,,,
,,3:17,Turnover > Any Type > Nani Falatea,,,
UWV,1,3:07,3 Kirsten Deans > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,9,-,13
,,3:07,Shot > Kirsten Deans > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,3:07,Misc Stat > Assist > Ariana Gray,,,
BYU,1,2:44,5 Maria Albiero > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits,9,-,13
,,,Ball Delivered,,,
,,,2 Shaylee Gonzales > Cut > Basket > Miss 2 Pts,,,
,,2:44,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,2:42,Misc Stat > Defensive Rebound > Kirsten Deans,,,
UWV,1,2:36,22 Blessing Ejiofor > Transition > First Middle > No Dribble Jumper > Open > Medium/17' to <3p > Miss 2 Pts,9,-,13
,,2:36,Shot > Blessing Ejiofor > Any Type > 2 Point Attempt > Miss 2 Pts,,,
UWV,1,2:34,21 Ariana Gray > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul,9,-,13
,,2:34,Personal Foul > Defensive - Any > Nani Falatea,,,
,,2:34,Misc Stat > Offensive Rebound > Ariana Gray,,,
UWV,1,2:34,21 Ariana Gray > Non Possession > Free Throw,9,-,14
,,2:34,Shot > Ariana Gray > Free Throw > Made,,,
,,2:34,Player Movement > Sub In > Home Player > Yemiyah Morris,,,
UWV,1,2:34,21 Ariana Gray > Non Possession > Free Throw,9,-,15
,,2:34,Shot > Ariana Gray > Free Throw > Made,,,
,,2:34,Player Movement > Sub Out > Home Player > Blessing Ejiofor,,,
BYU,1,2:23,22 Sara Hamson > Post-Up > Right Block > Left Shoulder > Dribble Move > Turnover,9,-,15
,,2:23,Turnover > Any Type > Sara Hamson,,,
,,2:23,Player Movement > Sub Out > Away Player > Shaylee Gonzales,,,
,,2:23,Player Movement > Sub In > Away Player > Paisley Johnson,,,
UWV,1,2:05,20 Yemiyah Morris > Post-Up > Flash Middle > Right Shoulder > No Dribble Move > To Basket > Make 2 Pts Foul > 0 Pts,9,-,17
,,2:05,Shot > Yemiyah Morris > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,2:05,Player Movement > Sub In > Away Player > Lauren Gustin,,,
,,2:05,Misc Stat > Assist > Savannah Samuel,,,
,,2:05,Player Movement > Sub Out > Away Player > Sara Hamson,,,
,,2:05,Personal Foul > Defensive - Any > Sara Hamson,,,
UWV,1,2:05,20 Yemiyah Morris > Non Possession > Free Throw,9,-,17
