Play By Play (1st),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BSU - BYU,,
,,5:21,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,5:21,Misc Stat > Assist > Paisley Johnson,,,
BSU,1,5:00,14 Anna Ostlie > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits,6,-,10
,,,Ball Delivered,,,
,,,22 Trista Hull > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts,,,
,,5:00,Shot > Trista Hull > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:57,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,4:44,2 Shaylee Gonzales > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > To Basket > Make 2 Pts,6,-,12
,,4:44,Shot > Shaylee Gonzales > Any Type > 2 Point Attempt > Make 2 Pts,,,
BSU,1,4:15,23 Elodie Lalotte > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Miss 2 Pts,6,-,12
,,4:15,Shot > Elodie Lalotte > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:26,Player Movement > Sub Out > Away Player > Rachel Bowers,,,
,,4:26,Player Movement > Sub In > Home Player > Sara Hamson,,,
,,4:26,Player Movement > Sub Out > Home Player > Maria Albiero,,,
,,4:26,Player Movement > Sub In > Away Player > Elodie Lalotte,,,
,,4:15,Misc Stat > Block > Tegan Graham,,,
BSU,1,4:05,23 Elodie Lalotte > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,6,-,12
,,4:05,Shot > Elodie Lalotte > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,4:06,Misc Stat > Offensive Rebound > Elodie Lalotte,,,
BSU,1,4:01,22 Trista Hull > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,6,-,12
,,4:01,Misc Stat > Defensive Rebound > Tegan Graham,,,
BYU,1,3:57,12 Lauren Gustin > ISO > Right > Drives Right > To Basket > Make 2 Pts,6,-,14
,,3:57,Shot > Lauren Gustin > Any Type > 2 Point Attempt > Make 2 Pts,,,
BSU,1,3:39,23 Elodie Lalotte > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Make 2 Pts,8,-,14
,,3:39,Shot > Elodie Lalotte > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,3:39,Misc Stat > Assist > Dominique Leonidas,,,
BYU,1,3:17,22 Sara Hamson > Post-Up > Left Block > Left Shoulder > Dribble Move > Turnover,8,-,14
,,3:17,Turnover > Any Type > Sara Hamson,,,
BSU,1,2:59,12 Mary-Kay Naro > Cut > Basket > Miss 2 Pts,8,-,14
,,2:59,Shot > Mary-Kay Naro > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,3:17,Player Movement > Sub In > Away Player > Kaitlin Burgess,,,
,,3:17,Player Movement > Sub Out > Away Player > Anna Ostlie,,,
BSU,1,2:56,23 Elodie Lalotte > Offensive Rebound > Short > Scoring Attempt > Short to < 17' > Foul,8,-,14
,,2:56,Player Movement > Sub In > Home Player > Maria Albiero,,,
,,2:56,Player Movement > Sub Out > Home Player > Paisley Johnson,,,
,,2:56,Personal Foul > Defensive - Any > Paisley Johnson,,,
BSU,1,2:56,23 Elodie Lalotte > Non Possession > Free Throw,8,-,14
,,2:56,Shot > Elodie Lalotte > Free Throw > Missed,,,
,,2:56,Misc Stat > Team Offensive Rebound > Away,,,
BSU,1,2:56,23 Elodie Lalotte > Non Possession > Free Throw,8,-,14
,,2:56,Shot > Elodie Lalotte > Free Throw > Missed,,,
BSU,1,2:56,12 Mary-Kay Naro > Offensive Rebound > Short > Run Offense,8,-,14
,,2:56,Misc Stat > Offensive Rebound > Mary-Kay Naro,,,
BSU,1,2:48,15 Dominique Leonidas > Non Possession > Non Shooting Foul,8,-,14
,,2:48,Personal Foul > Defensive - Any > Sara Hamson,,,
BSU,1,2:31,12 Mary-Kay Naro > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Foul,8,-,14
,,2:31,Personal Foul > Defensive - Any > Sara Hamson,,,
BSU,1,2:31,12 Mary-Kay Naro > Non Possession > Free Throw,9,-,14
,,2:31,Shot > Mary-Kay Naro > Free Throw > Made,,,
BSU,1,2:31,12 Mary-Kay Naro > Non Possession > Free Throw,9,-,14
,,2:31,Shot > Mary-Kay Naro > Free Throw > Missed,,,
,,2:31,Player Movement > Sub Out > Home Player > Sara Hamson,,,
,,2:31,Player Movement > Sub In > Home Player > Emma Calvert,,,
,,2:31,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,1,2:14,10 Tegan Graham > Off Screen > To Shooter's Right > Straight > To Basket > Miss 2 Pts,9,-,14
,,2:14,Shot > Tegan Graham > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,2:10,12 Lauren Gustin > Offensive Rebound > Short > Run Offense,9,-,14
,,2:10,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,1,2:03,5 Maria Albiero > Non Possession > Non Shooting Foul,9,-,14
,,2:03,Personal Foul > Defensive - Any > Dominique Leonidas,,,
BYU,1,1:57,25 Emma Calvert > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,9,-,14
,,1:57,Shot > Emma Calvert > Any Type > 3 Point Attempt > Miss 3 Pts,,,
,,1:52,Misc Stat > Defensive Rebound > Dominique Leonidas,,,
BSU,1,1:44,23 Elodie Lalotte > No Play Type > Turnover,9,-,14
,,1:44,"Team, jumpball heldball",,,
,,1:44,Misc Stat > Steal > Lauren Gustin,,,
,,1:44,Turnover > Any Type > Elodie Lalotte,,,
BYU,1,1:37,25 Emma Calvert > Post-Up > Left Block > Left Shoulder > No Dribble Move > To Basket > Foul,9,-,14
,,1:37,Personal Foul > Defensive - Any > Trista Hull,,,
,,1:37,Player Movement > Sub In > Away Player > Rachel Bowers,,,
,,1:37,Player Movement > Sub Out > Away Player > Trista Hull,,,
,,1:37,Player Movement > Sub In > Away Player > Jayda Clark,,,
,,1:37,Player Movement > Sub Out > Away Player > Mary-Kay Naro,,,
BYU,1,1:37,25 Emma Calvert > Non Possession > Free Throw,9,-,15
,,1:37,Shot > Emma Calvert > Free Throw > Made,,,
BYU,1,1:37,25 Emma Calvert > Non Possession > Free Throw,9,-,16
,,1:37,Shot > Emma Calvert > Free Throw > Made,,,
,,1:37,Player Movement > Sub In > Home Player > Nani Falatea,,,
,,1:37,Player Movement > Sub Out > Home Player > Tegan Graham,,,
BSU,1,1:15,15 Dominique Leonidas > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits,9,-,16
,,,Ball Delivered,,,
,,,23 Elodie Lalotte > P&R Roll Man > Rolls to Basket > Miss 2 Pts,,,
,,1:15,Shot > Elodie Lalotte > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,1:15,Misc Stat > Block > Emma Calvert,,,
,,1:15,Misc Stat > Team Defensive Rebound > Home,,,
BYU,1,0:50,2 Shaylee Gonzales > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > To Basket > Foul,9,-,16
,,0:50,Player Movement > Sub In > Away Player > Mary-Kay Naro,,,
,,0:50,Player Movement > Sub Out > Away Player > Dominique Leonidas,,,
,,0:50,Personal Foul > Defensive - Any > Dominique Leonidas,,,
BYU,1,0:50,2 Shaylee Gonzales > Non Possession > Free Throw,9,-,17
,,0:50,Shot > Shaylee Gonzales > Free Throw > Made,,,
BYU,1,0:50,2 Shaylee Gonzales > Non Possession > Free Throw,9,-,17
,,0:50,Shot > Shaylee Gonzales > Free Throw > Missed,,,
,,0:49,Misc Stat > Team Offensive Rebound > Home,,,
BYU,1,0:44,5 Maria Albiero > Off Screen > To Shooter's Left > Straight > To Basket > Miss 2 Pts,9,-,17
,,0:44,Shot > Maria Albiero > Any Type > 2 Point Attempt > Miss 2 Pts,,,
BYU,1,0:41,12 Lauren Gustin > Offensive Rebound > Long > Run Offense,9,-,17
,,0:41,Misc Stat > Offensive Rebound > Lauren Gustin,,,
BYU,1,0:37,3 Nani Falatea > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,9,-,20
,,0:37,Shot > Nani Falatea > Any Type > 3 Point Attempt > Make 3 Pts,,,
,,0:37,Misc Stat > Assist > Lauren Gustin,,,
BSU,1,0:22,24 Jayda Clark > No Play Type > Turnover,9,-,20
,,0:22,Turnover > Any Type > Jayda Clark,,,
,,0:22,Misc Stat > Steal > Maria Albiero,,,
BYU,1,0:17,5 Maria Albiero > Transition > Ballhandler > To Basket > Make 2 Pts,9,-,22
,,0:17,Shot > Maria Albiero > Any Type > 2 Point Attempt > Make 2 Pts,,,
BSU,1,0:07,24 Jayda Clark > No Play Type > Foul,9,-,22
,,0:07,Personal Foul > Defensive - Any > Maria Albiero,,,
BSU,1,0:07,24 Jayda Clark > Non Possession > Free Throw,10,-,22
,,0:07,Shot > Jayda Clark > Free Throw > Made,,,
BSU,1,0:07,24 Jayda Clark > Non Possession > Free Throw,11,-,22
,,0:07,Shot > Jayda Clark > Free Throw > Made,,,
BYU,1,0:03,2 Shaylee Gonzales > No Play Type > Turnover,11,-,22
,,0:03,Turnover > Any Type > Shaylee Gonzales,,,
,,0:03,Misc Stat > Steal > Mary-Kay Naro,,,
BSU,1,0:00,12 Mary-Kay Naro > Transition > Ballhandler > Dribble Jumper > Medium/17' to <3p > Make 2 Pts,13,-,22
,,0:00,Shot > Mary-Kay Naro > Any Type > 2 Point Attempt > Make 2 Pts,,,
Play By Play (2nd),,,Period: 1 | 2 | 3 | 4,,,
Team,PER,Time,Data,BSU - BYU,,
BSU,2,10:00,23 Elodie Lalotte > Cut > Basket > Foul,13,-,22
,,10:00,Player Movement > Sub In > Away Player > Anna Ostlie,,,
,,10:00,Player Movement > Sub Out > Away Player > Kaitlin Burgess,,,
,,10:00,Player Movement > Sub In > Home Player > Paisley Johnson,,,
,,10:00,Player Movement > Sub Out > Away Player > Rachel Bowers,,,
,,10:00,Player Movement > Sub In > Away Player > Abby Muse,,,
,,10:00,Player Movement > Sub Out > Home Player > Shaylee Gonzales,,,
,,9:41,Personal Foul > Defensive - Any > Emma Calvert,,,
BSU,2,9:41,23 Elodie Lalotte > Non Possession > Free Throw,14,-,22
,,9:41,Shot > Elodie Lalotte > Free Throw > Made,,,
BSU,2,9:41,23 Elodie Lalotte > Non Possession > Free Throw,15,-,22
,,9:41,Shot > Elodie Lalotte > Free Throw > Made,,,
BYU,2,9:29,13 Paisley Johnson > ISO > Left > Drives Left > To Basket > Miss 2 Pts,15,-,22
,,9:29,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:29,Misc Stat > Block > Abby Muse,,,
,,9:26,Misc Stat > Team Defensive Rebound > Away,,,
BSU,2,9:08,23 Elodie Lalotte > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,15,-,22
,,9:08,Shot > Elodie Lalotte > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,9:26,Player Movement > Sub Out > Home Player > Emma Calvert,,,
,,9:26,Player Movement > Sub In > Home Player > Tegan Graham,,,
,,9:05,Misc Stat > Defensive Rebound > Lauren Gustin,,,
BYU,2,9:01,13 Paisley Johnson > Transition > Right Wing > To Basket > Make 2 Pts,15,-,24
,,9:01,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Make 2 Pts,,,
,,9:01,Misc Stat > Assist > Maria Albiero,,,
BSU,2,8:33,33 Abby Muse > No Play Type > Turnover,15,-,24
,,8:33,Turnover > Any Type > Abby Muse,,,
,,8:33,Personal Foul > Offensive Foul - Player Control > Abby Muse,,,
BYU,2,8:21,13 Paisley Johnson > Cut > Basket > Miss 2 Pts,15,-,24
,,8:21,Shot > Paisley Johnson > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:33,Player Movement > Sub Out > Away Player > Abby Muse,,,
,,8:33,Player Movement > Sub Out > Away Player > Jayda Clark,,,
,,8:33,Player Movement > Sub In > Away Player > Trista Hull,,,
,,8:33,Player Movement > Sub In > Away Player > Dominique Leonidas,,,
,,8:17,Misc Stat > Defensive Rebound > Mary-Kay Naro,,,
BSU,2,8:11,14 Anna Ostlie > Transition > Right Wing > To Basket > Miss 2 Pts,15,-,24
,,8:11,Shot > Anna Ostlie > Any Type > 2 Point Attempt > Miss 2 Pts,,,
,,8:11,Misc Stat > Block > Nani Falatea,,,
BSU,2,8:00,23 Elodie Lalotte > Offensive Rebound > Short > Scoring Attempt > Short to < 17' > Miss 2 Pts,15,-,24
